term,coef,se,t,p,ci_low,ci_high
const,1.8451626848867846,9.887153973845129,0.18662222614999877,0.8519568389522558,-17.533303013451743,21.22362838322531
r_close,-0.14368127801988476,0.0644906098071761,-2.227941066916332,0.025884445180195864,-0.27008055058297553,-0.01728200545679401
avol,9.602607239378429,5.9943925870384795,1.60193165528429,0.10917072355526988,-2.146186340410873,21.35140081916773
r_close_x_avol,-0.006123920829269819,0.09580093543501923,-0.06392339282974549,0.9490312255840624,-0.19389030396715456,0.18164246230861492
mkt_r_session,0.02640909767985855,0.04846305957308786,0.5449325303127137,0.5857999219498735,-0.06857675366401274,0.12139494902372984
realized_vol,-223.57394301821518,854.0382872490367,-0.2617844496625258,0.7934876284716124,-1897.4582274446004,1450.31034140817
r_overnight_prev,-0.001484554555745403,0.019886484929764567,-0.07465143090840733,0.9404920523027079,-0.040461348797182495,0.037492239685691695
month_end,5.9102135061022345,10.540719434144169,0.5607030471712865,0.5749999895706981,-14.749216955961753,26.569643968166222
dow_Tuesday,2.632873113952888,6.766859510229636,0.3890834603515421,0.6972144081400637,-10.629927814539547,15.895674042445323
dow_Wednesday,0.5668844497006871,8.46991208107613,0.066929201185836,0.9466380659682242,-16.033838181429225,17.1676070808306
dow_Thursday,-6.1527931431572185,7.229747271101405,-0.8510384820436303,0.3947479764715234,-20.322837411842713,8.017251125528274
dow_Friday,-11.07209471373924,8.550086759581365,-1.294968697403178,0.19533102809312364,-27.829956827211493,5.685767399733013
fe_AMZN,7.940915074002965,,,,,
fe_GOOGL,5.652986931090959,,,,,
fe_IWM,6.505069696593241,,,,,
fe_JPM,5.341173600210198,,,,,
fe_META,7.759496584339401,,,,,
fe_MSFT,6.471591082292582,,,,,
fe_NVDA,21.79916921789178,6.814279448565012,3.199042449379203,0.0013788486476871268,8.443426918112898,35.15491151767066
fe_QQQ,5.963828386638768,,,,,
fe_SPY,4.864289188005527,3.1507294681450597,1.5438612667907974,0.12262194520372599,-1.3110270945878293,11.039605470598882
fe_TSLA,15.958250023769033,10.179317277710261,1.567713196121016,0.11694808061162021,-3.992845227749388,35.90934527528745
fe_XOM,7.874381677002001,,,,,
