direction,outcome,n_high,n_ordinary,mean_high_bps,mean_ordinary_bps,diff_bps,diff_ci_low_bps,diff_ci_high_bps,boot_p_value
strong up,r_overnight,625,391,7.21494091562159,2.8667665787613994,4.34817433686019,-17.718129735196584,27.429084289709408,0.6902
strong down,r_overnight,611,347,29.339437380256957,18.011476397539415,11.327960982717542,-16.393651939955014,38.579246014837054,0.405
strong up,r_open30_next,624,390,-7.816482076039774,4.587827943810373,-12.404310019850147,-26.088201256312935,1.0812554035810842,0.0684
strong down,r_open30_next,610,346,5.338967579756288,3.654122900027265,1.6848446797290224,-14.018317458252277,17.966242962170938,0.8506
strong up,r_session_next,625,391,0.1683079424334046,-9.588833774374507,9.757141716807912,-22.197683239617703,40.91858353605708,0.5306
strong down,r_session_next,611,347,10.748693395227532,-11.957952388007032,22.706645783234563,-5.981447770555398,52.87851052789589,0.1236
strong up,r_next_close_to_close,625,391,6.912711981948448,-6.597167416996437,13.509879398944886,-22.697040584147864,48.90680385952269,0.444
strong down,r_next_close_to_close,611,347,39.38718876450145,6.360638481285892,33.026550283215556,-3.0478045335007944,69.29002044959078,0.08
