term,coef,se,t,p,ci_low,ci_high,outcome
const,4.324779860480491,4.273232710320489,1.0120627996775153,0.31150802769071506,-4.050602349306149,12.70016207026713,r_open30_next
r_close,0.04885410774212628,0.03534806752588437,1.3820870888161518,0.1669449623260505,-0.020426831531696936,0.11813504701594948,r_open30_next
avol,1.8830428881153898,3.2798767866823657,0.5741200083372979,0.5658865946010689,-4.545397487511009,8.311483263741788,r_open30_next
r_close_x_avol,-0.17689603208191895,0.049774715861085006,-3.553933538779279,0.00037951510746716275,-0.27445268251036015,-0.07933938165347776,r_open30_next
mkt_r_session,-0.04281381689480278,0.020754350622195984,-2.062883954991829,0.03912365490505455,-0.08349159663682337,-0.00213603715278219,r_open30_next
realized_vol,153.75304282587612,315.5693880921538,0.48722420053296345,0.626099457106333,-464.75159245808834,772.2576781098406,r_open30_next
r_overnight_prev,0.016648085083858778,0.011092752934276398,1.500807345344951,0.13340539828402947,-0.00509331115672397,0.038389481324441525,r_open30_next
month_end,-1.5481782185361417,6.3975098199923295,-0.24199700541264632,0.8087824836153727,-14.087067056462432,10.990710619390148,r_open30_next
dow_Tuesday,3.5208027601865854,3.4831729040437303,1.0108033270754861,0.31211057041259305,-3.306090683664915,10.347696204038087,r_open30_next
dow_Wednesday,-1.7363179802273225,3.9982655284757,-0.43426780134066706,0.6640939827101732,-9.5727744166677,6.100138456213056,r_open30_next
dow_Thursday,2.3097660182171644,4.527085206737335,0.5102104141489773,0.6099040569703094,-6.563157941932078,11.182689978366406,r_open30_next
dow_Friday,5.481083949004405,5.182473293024619,1.0576193332981962,0.29022902476540224,-4.676377056164543,15.638544954173351,r_open30_next
const,6.8804451219717855,12.293054860739275,0.5597018153678045,0.5756828439033858,-17.213499665052243,30.974389908995814,r_session_next
r_close,0.16668791492346155,0.08650179417655805,1.9269879487497832,0.053981131825181286,-0.002852486260688819,0.33622831610761195,r_session_next
avol,-0.41283171895958226,6.591392892747598,-0.06263193920875423,0.9500595955265987,-13.331724396698158,12.506060958778994,r_session_next
r_close_x_avol,-0.2857257234606136,0.0988157162702694,-2.891500808222949,0.0038340660646090144,-0.47940096845687025,-0.09205047846435693,r_session_next
mkt_r_session,-0.1547312339412895,0.07340562960716487,-2.107893287876475,0.035040220954188156,-0.2986036242338197,-0.010858843648759248,r_session_next
realized_vol,309.43576181216116,1122.4329411985314,0.2756830724174456,0.7827914982394126,-1890.4923779983246,2509.363901622647,r_session_next
r_overnight_prev,0.03976219566215595,0.030603577641221933,1.2992662533872406,0.19385257137544176,-0.0202197143127143,0.0997441056370262,r_session_next
month_end,-10.850388886144106,16.002379709116997,-0.6780484580029269,0.4977409691050181,-42.21447678294797,20.513699010659757,r_session_next
dow_Tuesday,-1.021632686679469,9.965386671141164,-0.10251811800118328,0.9183454325306838,-20.55343165413165,18.510166280772715,r_session_next
dow_Wednesday,-12.425310960052427,10.128214327766482,-1.2268017399659936,0.21989711670906287,-32.27624627017729,7.425624350072434,r_session_next
dow_Thursday,2.752718929158018,10.210077673279173,0.2696080301486998,0.7874618218859837,-17.258665589825675,22.76410344814171,r_session_next
dow_Friday,10.972104815020932,9.489835584083325,1.156195459637227,0.24760121656979062,-7.627631148989012,29.57184077903088,r_session_next
const,9.141213166361354,11.764681919578656,0.7770047017717194,0.43715599635441216,-13.917139685582363,32.19956601830507,r_next_close_to_close
r_close,0.024879667891450137,0.11432006716823177,0.21763167664026625,0.8277161016115762,-0.19918354646848402,0.24894288225138428,r_next_close_to_close
avol,9.147033233040887,7.021665055240045,1.3026872061085777,0.19268157165585553,-4.61517738673305,22.909243852814825,r_next_close_to_close
r_close_x_avol,-0.2920403519990831,0.1146725692795297,-2.546732438576446,0.010873676907138983,-0.5167944578016356,-0.06728624619653067,r_next_close_to_close
mkt_r_session,-0.12691266143770472,0.07997956884494187,-1.5868135233856169,0.11255488506069894,-0.2836697358728325,0.029844412997423103,r_next_close_to_close
realized_vol,33.17003110437767,939.006159896958,0.035324615024908454,0.9718208956250741,-1807.2482235549194,1873.5882857636745,r_next_close_to_close
r_overnight_prev,0.039188677638585925,0.03440021647125628,1.139198576594154,0.25462033913609106,-0.028234507705457934,0.10661186298262978,r_next_close_to_close
month_end,-5.095031066170437,17.688275155093375,-0.2880456698856424,0.7733117799031749,-39.76341331878809,29.57335118644722,r_next_close_to_close
dow_Tuesday,1.7477255442399464,11.560262748928862,0.15118389453577818,0.8798306545597974,-20.909973095480623,24.40542418396052,r_next_close_to_close
dow_Wednesday,-11.830664144087237,12.480630064338747,-0.9479220266203806,0.34316915062370623,-36.292249574558994,12.630921286384524,r_next_close_to_close
dow_Thursday,-3.236202108935378,11.962497829224496,-0.2705289610192702,0.7867533395744216,-26.68226701935397,20.209862801483215,r_next_close_to_close
dow_Friday,-0.02959866856808513,11.36291348003348,-0.0026048485381935617,0.9979216339185131,-22.300499848878395,22.241302511742226,r_next_close_to_close
