window,predicts,beta_std,se,t,p,ci_low,ci_high,n,r2,sample
morning 09:30-10:00,10:00-10:30,0.005055834850489206,0.0149020693131514,0.33927065726551964,0.7344058452718254,-0.024151684298407076,0.03426335399938549,15144,2.5493401302645324e-05,all
midday 12:00-12:30,12:30-13:00,-0.0504163215705358,0.029034398664832203,-1.7364341570332698,0.08248709709499992,-0.10732269726638474,0.006490054125313151,15136,0.0024600886989859516,all
close 15:30-16:00,overnight,-0.053285871651093504,0.01975460355487945,-2.6973900793838874,0.006988535277361605,-0.09200418314752415,-0.01456756015466286,14999,0.0022580982897718593,all
