term,coef,se,t,p,ci_low,ci_high
const,-33.72791203119613,24.32396477911153,-1.3866124349990976,0.16555997446305748,-81.4020069594755,13.946182897083247
r_close,-0.09130336958246903,0.09820156782778933,-0.9297547035357187,0.3524981039424614,-0.2837749057503034,0.10116816658536533
avol,3.1287464461164696,12.824251517452646,0.24397107635159282,0.8072532208760832,-22.006324656773852,28.26381754900679
r_close_x_avol,-0.162690229011547,0.11172203639333107,-1.456205367030513,0.14533585631468782,-0.3816613966219491,0.05628093859885511
mkt_r_session,0.10029192549606546,0.09528100225169955,1.0525910005766812,0.29252848352258987,-0.08645540732814545,0.2870392583202764
realized_vol,110.79727639247217,1880.5304016389748,0.05891809900861315,0.9530173421690125,-3574.974582652561,3796.5691354375053
r_overnight_prev,-0.01323629324648624,0.03772338959543078,-0.35087762230384195,0.7256801602837102,-0.08717277822830356,0.060700191735331074
month_end,21.974161597497233,15.60353536706918,1.4082809491926478,0.15904789450432155,-8.60820575345533,52.556528948449795
dow_Tuesday,26.28602973710209,15.469112385082632,1.699259083698336,0.08927037829947836,-4.032873410462361,56.60493288466654
dow_Wednesday,12.022231821514826,17.4301506511919,0.6897376885662618,0.49035916031344373,-22.14023569992867,46.184699342958325
dow_Thursday,10.136528983270974,15.625152565729286,0.6487315205806993,0.5165119268562481,-20.488207298502044,40.76126526504399
dow_Friday,-13.950863509835713,23.782613057555277,-0.5865992721688668,0.5574728716170432,-60.56392856089607,32.66220154122465
