term,coef,se,t,p,ci_low,ci_high
const,1.218193215571311,10.01935995172538,0.12158393564466485,0.9032285365894475,-18.41939143795341,20.855777869096034
r_close,-0.13886351017515522,0.06400371881951258,-2.169616277559491,0.03003592722171805,-0.26430849393802835,-0.013418526412282084
avol,9.900647169951817,5.944548748112397,1.6655002069073148,0.09581300238363318,-1.7504542806911463,21.55174862059478
r_close_x_avol,-0.014824318035061037,0.09922100873298996,-0.1494070482084517,0.8812324504890542,-0.20929392166145555,0.17964528559133347
mkt_r_session,0.027845388957757438,0.04871612975492193,0.5715845880582117,0.5676034390849676,-0.06763647082806963,0.12332724874358451
realized_vol,-246.05831337452653,864.6024235138503,-0.2845912834416024,0.7759572900328819,-1940.64792440772,1448.531297658667
r_overnight_prev,-0.0018112896762930131,0.01951512564267871,-0.09281465615224138,0.9260508073471833,-0.040060233089717366,0.036437653737131336
month_end,5.910428114127331,10.563547610941098,0.5595116651914986,0.5758125722932417,-14.793744752291353,26.614600980546015
dow_Tuesday,2.7743116772169305,6.746886062241405,0.41119883330225787,0.680926743703659,-10.449342012571488,15.99796536700535
dow_Wednesday,0.5060526380154842,8.536959427882136,0.05927785440360545,0.9527307997172941,-16.22608037811317,17.238185654144136
dow_Thursday,-5.906475566273261,7.198510756460255,-0.82051354316204,0.4119234118709333,-20.01529739125954,8.202346258713021
dow_Friday,-11.696070450117796,8.481502417255705,-1.3790092691976388,0.16789189602290666,-28.319509722728384,4.927368822492793
