term,coef,se,t,p,ci_low,ci_high
const,1.866285680321404,9.880325421864708,0.18888909025115705,0.8501797443756685,-17.49879630206894,21.231367662711747
r_close,-0.13835767952871075,0.06505767252475562,-2.1266927352198643,0.033445621531376084,-0.2658683745952328,-0.010846984462188708
avol,9.5865009570264,5.994334033192281,1.5992603855479692,0.10976275781032752,-2.1621778593331964,21.335179773385995
r_close_x_avol,-0.007367807541693541,0.09056973912756237,-0.08134955022136477,0.935163969157043,-0.18488123432090392,0.17014561923751687
mkt_r_session,0.025889024716109724,0.048573601822217795,0.5329854848084986,0.5940436282084898,-0.0693134854548263,0.12109153488704574
realized_vol,-223.64143375677452,853.8363957135006,-0.26192539329491876,0.7933789618490512,-1897.1300180447256,1449.8471505311763
r_overnight_prev,-0.0013592745194945816,0.019885552454729803,-0.06835487837660133,0.9455031396139701,-0.04033424114344706,0.0376156921044579
month_end,5.854256870859652,10.548050289155555,0.5550084338219747,0.5788888917615052,-14.819541803002538,26.528055544721845
dow_Tuesday,2.6295508054954952,6.7655864024370445,0.388665615821313,0.6975235209725995,-10.630754877575026,15.889856488566014
dow_Wednesday,0.5576784488309254,8.471056174558381,0.06583340227465777,0.9475104627404184,-16.04528656431915,17.160643461980996
dow_Thursday,-6.146380839047324,7.232644859874698,-0.8498109554841058,0.39543019772605004,-20.322104277370478,8.029342599275832
dow_Friday,-11.107790835224325,8.552080672582568,-1.2988407453679902,0.19399858828733796,-27.86956094636724,5.653979275918591
