session,close_time,tickers,expected_bars,median_observed,bars_after_1300
2021-11-26,13:00:00,12,42,42.0,0
2022-11-25,13:00:00,12,42,42.0,0
2023-07-03,13:00:00,12,42,42.0,0
2023-11-24,13:00:00,12,42,42.0,0
2024-07-03,13:00:00,12,42,42.0,0
2024-11-29,13:00:00,12,42,42.0,0
2024-12-24,13:00:00,12,42,42.0,0
2025-07-03,13:00:00,12,42,42.0,0
2025-11-28,13:00:00,12,42,42.0,0
2025-12-24,13:00:00,12,42,42.0,0
