decile,volume_regime,n,n_dates,mean_bps,ci_low_bps,ci_high_bps,median_bps,median_ci_low_bps,median_ci_high_bps,t_stat_clustered,std_bps,mean_close30_bps,p_positive
1,high,834,344,24.209306457978773,3.782473001421325,43.50405669779684,24.782866619653674,9.340659340659752,36.92990669864701,2.9266068877317397,170.93681820071177,-75.93604870006372,0.5947242206235012
1,ordinary,631,317,14.948831958177596,-2.2295121802319975,30.91523647087535,21.31175019755238,5.749210379276421,30.960358321627616,2.2157003933627317,132.61376092611766,-60.745215567191295,0.5927099841521395
2,high,519,331,17.461435055781976,-2.0061555611533897,36.90030103057146,18.67363815824641,6.006101707795086,29.48449686132726,2.5930884008513693,178.16472577714202,-37.128091227717654,0.5799614643545279
2,ordinary,948,510,3.0716996053868937,-7.1766078638021495,12.98452898252532,7.89345987962764,1.7137341671654982,14.164305949009304,0.980940264191621,115.23924673350682,-35.016180379313816,0.5527426160337553
3,high,415,302,11.798584031552275,-6.9696384328185434,29.612516342831064,9.77239770506122,1.1983941518378671,20.080889215714492,1.4937918301179076,162.6271257451049,-22.354296101073125,0.5590361445783133
3,ordinary,984,546,9.956960855716328,0.3258392064774394,20.112938863598384,8.621746513265416,0.9322177223104744,15.591840270259283,2.4974847902163337,122.41150019913951,-22.329918479971873,0.5457317073170732
4,high,353,272,6.309368000672229,-14.72801492284163,27.428495838901487,9.541449177752348,-1.8007473101333549,20.363142711692372,0.838830394784962,171.61729578756928,-12.428819560262914,0.5410764872521246
4,ordinary,1137,631,1.7288434030946362,-7.370258317654303,11.212508596756557,8.474023857636404,1.254337918634718,13.554763103389098,-0.10000818609917766,118.49208885795024,-12.90809283699357,0.5461741424802111
5,high,372,287,18.257830036079362,-5.7551431563872395,42.89362020715938,13.522531501307666,5.765010890447841,20.860536959774745,0.9112356428651663,222.90035279595105,-4.919643246720139,0.6021505376344086
5,ordinary,1130,643,3.8365068653611587,-5.371313275189434,13.122114417059175,5.703976862250215,1.3746557992823372,10.20709879530443,0.7381298858236525,124.17305929465238,-4.293919740025843,0.5513274336283186
6,high,349,281,14.221790749809227,-1.3594260543906125,29.913480483654297,14.104372355430161,3.5777531760893266,24.34229004774746,1.5613810592516113,140.71690288759822,3.209148748481507,0.5787965616045845
6,ordinary,1167,657,-2.1051305674899683,-9.570891274138996,5.661774707045394,2.836074872378802,-0.8615490652186253,7.499777896655973,0.5093225619077101,102.07116943762593,3.780771322048099,0.5218508997429306
7,high,371,289,-3.3105473365891975,-26.022773360588154,16.994785046933764,0.0,-7.751337105650347,13.836319920505959,0.34316785349120976,189.8690434411172,12.169313448261866,0.49595687331536387
7,ordinary,1098,629,-0.28242569089626485,-7.27828313779166,6.587150947569554,3.6842257570801618,-0.42412418356008175,8.975337121156057,0.7954547397037037,95.6560586044251,11.858993284239585,0.5318761384335154
8,high,388,297,-4.970518364201279,-20.953428481192358,11.460536223228493,-0.2066410334200519,-12.161302054919387,10.002857959416911,0.0006670182153817928,153.11906050308693,21.0497017613946,0.5
8,ordinary,1055,599,-4.327787311556393,-12.9612974298556,4.44300034769272,0.5762692329858154,-4.356665698519446,5.341577710456229,0.06345658154533056,107.09940233189324,20.48700285374429,0.500473933649289
9,high,417,304,-2.5313323811990336,-21.74722691363378,17.253840681937163,0.6144770800053934,-11.059553290216906,11.995544512040102,-0.033846900919679304,186.89484202639068,33.19712553456137,0.5035971223021583
9,ordinary,1035,499,-4.09737952269938,-14.941335688912368,7.319411740401627,0.0,-5.936832106387957,6.74454538057589,-0.9868516773290446,116.7987210690343,31.727378158986095,0.4985507246376812
10,high,910,370,9.990008633922523,-7.99091273439596,29.071248494495983,4.313811385070476,-6.1622160901142475,14.25758707312097,1.1250757674076504,190.86455506424684,73.49600373649997,0.5164835164835165
10,ordinary,845,369,2.411472425743802,-8.778111573680174,13.803363500400101,2.8533384059348244,-7.905138339922013,12.721297572353407,-0.5889854385098936,104.62248526770104,50.11063863136155,0.5112426035502958
