window,predicts,n,p_same_sign,ci_low,ci_high,mean_next_bps
morning 09:30-10:00,10:00-10:30,2052,0.5019493177387915,0.4714052777630477,0.5320079421182513,-0.9150674413699998
midday 12:00-12:30,12:30-13:00,1993,0.479177119919719,0.44140619958376354,0.5175403682241357,1.8743933550666465
close 15:30-16:00,overnight,1975,0.46329113924050636,0.4240913923991254,0.502997988853252,15.106621238298278
