term,coef,se,t,p,ci_low,ci_high
const,1.5610805919474082,9.536003319393645,0.16370386415161933,0.8699642754369322,-17.12914247051854,20.25130365441336
r_close,-0.15413635318192168,0.05580185918602326,-2.7622082029218182,0.00574118546702692,-0.26350598745690285,-0.044766718906940506
avol,9.862480319700484,5.955613735956688,1.6559973089181903,0.09772236379699309,-1.8103081086066641,21.53526874800763
r_close_x_avol,-0.08766888531870104,0.08911993374534116,-0.9837180261961765,0.3252541741006868,-0.26234074576416555,0.08700297512676344
mkt_r_session,0.05425843103300435,0.04881654398012715,1.1114762867091237,0.26636339161804057,-0.04142023701776045,0.14993709908376915
realized_vol,-204.87202689310465,819.2211993901925,-0.25008145180520985,0.8025243596432838,-1810.5160730695884,1400.772019283379
r_overnight_prev,-0.00234872867693962,0.019642186083427417,-0.11957572680371349,0.9048192489394816,-0.040846705978091216,0.03614924862421198
month_end,6.454708151850766,10.561217130950112,0.6111708595532005,0.5410864729126663,-14.244897057718894,27.154313361420428
dow_Tuesday,2.768313274299489,6.723652066930028,0.41172762164706733,0.6805390770263278,-10.40980262146166,15.946429170060638
dow_Wednesday,0.5243122497729759,8.54396933237483,0.06136635436953765,0.9510674471628979,-16.221559926696422,17.270184426242373
dow_Thursday,-6.317720392778568,7.223005766193227,-0.8746663919816065,0.38175545165543956,-20.47455155464243,7.839110769085295
dow_Friday,-10.77073056845594,8.519298187076068,-1.2642743958411196,0.20613155625952728,-27.46824818868241,5.926787051770527
