ticker,session,observed_bars,n_minutes,zero_volume_bars,min_price,max_price,max_bar_range,expected_bars,is_early_close,close_time,dst_transition,is_dst,missing_bars,missing_pct,has_auction,auction_price,auction_volume,has_0930,has_0955,has_1455,has_1525,has_1555,has_core_slots,has_close_slots,bad_bars,session_range,exclusion_reason,usable,event_eligible,event_exclusion_reason
AAPL,2021-01-04,78,390.0,0.0,126.76,133.6,0.010018933417481835,78,False,16:00:00,,False,0,0.0,True,129.41,14751917.0,True,True,True,True,True,True,True,0,0.053960239823288125,,True,True,
AAPL,2021-01-05,78,390.0,0.0,128.44,131.73,0.016739333540952916,78,False,16:00:00,,False,0,0.0,True,131.01,7888611.0,True,True,True,True,True,True,True,0,0.025615073185923265,,True,True,
AAPL,2021-01-06,78,390.0,0.0,126.39,131.04,0.011062821019359959,78,False,16:00:00,,False,0,0.0,True,126.68,9235010.0,True,True,True,True,True,True,True,0,0.036790885354853975,,True,True,
AAPL,2021-01-07,78,390.0,0.0,127.86,131.625,0.005857544517338331,78,False,16:00:00,,False,0,0.0,True,130.92,8183784.0,True,True,True,True,True,True,True,0,0.029446269357109367,,True,True,
AAPL,2021-01-08,78,390.0,0.0,130.23,132.63,0.009022384650525295,78,False,16:00:00,,False,0,0.0,True,132.05,7416371.0,True,True,True,True,True,True,True,0,0.018428933425478133,,True,True,
AAPL,2021-01-11,78,390.0,0.0,128.5,130.17,0.008015564202334735,78,False,16:00:00,,False,0,0.0,True,128.98,8783240.0,True,True,True,True,True,True,True,0,0.012996108949416163,,True,True,
AAPL,2021-01-12,78,390.0,0.0,126.865,129.69,0.0106814283486667,78,False,16:00:00,,False,0,0.0,True,128.8,4622240.0,True,True,True,True,True,True,True,0,0.022267764946990898,,True,True,
AAPL,2021-01-13,78,390.0,0.0,128.49,131.45,0.007237917347653333,78,False,16:00:00,,False,0,0.0,True,131.18,7407310.0,True,True,True,True,True,True,True,0,0.02303681220328424,,True,True,
AAPL,2021-01-14,78,390.0,0.0,128.76,131.0,0.007072570725707106,78,False,16:00:00,,False,0,0.0,True,128.91,7800694.0,True,True,True,True,True,True,True,0,0.017396707051879456,,True,True,
AAPL,2021-01-15,78,390.0,0.0,127.0,130.22,0.01236103552825929,78,False,16:00:00,,False,0,0.0,True,127.14,9444025.0,True,True,True,True,True,True,True,0,0.025354330708661443,,True,True,
AAPL,2021-01-19,78,390.0,0.0,126.94,128.7,0.006028813028500002,78,False,16:00:00,,False,0,0.0,True,127.83,7073966.0,True,True,True,True,True,True,True,0,0.013864818024263315,,True,True,
AAPL,2021-01-20,78,390.0,0.0,128.55,132.49,0.0063010501750291326,78,False,16:00:00,,False,0,0.0,True,131.98,10943288.0,True,True,True,True,True,True,True,0,0.030649552703228222,,True,True,
AAPL,2021-01-21,78,390.0,0.0,133.59,139.67,0.021054170626507718,78,False,16:00:00,,False,0,0.0,True,136.86,6680200.0,True,True,True,True,True,True,True,0,0.04551238865184515,,True,True,
AAPL,2021-01-22,78,390.0,0.0,135.02,139.85,0.010220708043252813,78,False,16:00:00,,False,0,0.0,True,138.98,6379045.0,True,True,True,True,True,True,True,0,0.035772478151384846,,True,True,
AAPL,2021-01-25,78,390.0,0.0,136.54,145.09,0.026585615936721707,78,False,16:00:00,,False,0,0.0,True,142.92,4923049.0,True,True,True,True,True,True,True,0,0.06261901274351844,,True,True,
AAPL,2021-01-26,78,390.0,0.0,141.38,144.3,0.015089550133972729,78,False,16:00:00,,False,0,0.0,True,143.18,3965986.0,True,True,True,True,True,True,True,0,0.02065355778752309,,True,True,
