window,sd_window_bps,mean_abs_window_bps,following,sd_following_bps,n
morning 09:30-10:00,92.02171185133642,64.42332340564083,10:00-10:30,60.46604421731635,15700
midday 12:00-12:30,36.51638472717637,24.972578237197773,12:30-13:00,33.58760343598461,15676
close 15:30-16:00,41.09089969254595,28.436047358156895,overnight,138.00454173851864,15568
