ticker,close30_share_ex_auction,close30_share,auction_share
AAPL,0.13212211127784423,0.2495828475216113,0.13061531985819416
AMZN,0.1278572573552052,0.2220112006552581,0.10532354405125283
GOOGL,0.15298295861102656,0.2717944019862908,0.13409249592441694
IWM,0.15185513633328596,0.17598670794347865,0.023535008790614605
JPM,0.16808037132105236,0.3102892388972255,0.16593597886886527
META,0.12124388542813824,0.2006728527267548,0.08877876856463748
MSFT,0.14851419491952428,0.29891329595106725,0.17189278194021468
NVDA,0.0990409269553428,0.153061852867367,0.05510326595837745
QQQ,0.13681251128347047,0.15297284668587918,0.014980297913015129
SPY,0.1920179968389249,0.21786104381413818,0.02861179458410594
TSLA,0.08231735435444426,0.11083121897105701,0.027375909413486978
XOM,0.19094369710603187,0.20514340288942434,4.257443344921868e-05
