regime_var,regime,direction,n,mean_bps,ci_low_bps,ci_high_bps,t_stat,p_same_sign,mean_close30_bps
vix_regime,high VIX,strong up,544,8.080949888789773,-16.260075360738195,33.336262285610715,-0.9340003961123521,0.5569852941176471,85.14561684726777
vix_regime,high VIX,strong down,597,20.694419996394775,-5.893729666006299,46.18763281336375,2.1893446162425065,0.423785594639866,-85.99273574168684
vix_regime,low VIX,strong up,472,2.6148454768168734,-13.126262306498312,19.079884341590983,-0.12207179492506001,0.5021186440677966,61.477301474349474
vix_regime,low VIX,strong down,361,32.74739559954431,11.18097328166061,54.80396844453001,2.4956909991562983,0.3379501385041551,-69.40606241445573
market_day,flat,strong up,460,1.2847060776575232,-17.652434318975928,20.34545643028061,-0.9195592637427817,0.4956521739130435,64.90727295676173
market_day,flat,strong down,416,30.820282998123066,10.049167210787214,49.91750890680166,2.587875046045891,0.33653846153846156,-74.65981065778597
market_day,strong down,strong up,189,-15.531565114455905,-50.900226458154286,14.654815984777883,-0.6799508445498812,0.5238095238095238,78.0785665201645
market_day,strong down,strong down,438,11.002338926028171,-22.440772587758282,41.219817386860754,1.241538498758594,0.4497716894977169,-84.6945325101993
market_day,strong up,strong up,367,21.729549905909824,-7.516888479968865,51.86612890682705,0.29190506450496845,0.5803814713896458,83.71200879668973
market_day,strong up,strong down,104,62.847272812150415,17.323570370350026,116.14994301153487,2.052146273892781,0.36538461538461536,-79.21697400287806
dow,Friday,strong up,201,4.125244687413821,-28.191668255466094,31.005554208047617,-0.32484785653344295,0.5920398009950248,81.85665506092994
dow,Friday,strong down,172,-13.080746414603023,-73.05907050272852,37.77200525932391,0.4025515290791051,0.4883720930232558,-78.24596245941767
dow,Monday,strong up,245,-2.557203285416126,-39.039444412715284,39.91270984887358,-1.1766153444828589,0.49387755102040815,74.9212097061021
dow,Monday,strong down,134,23.220269118883124,-3.661362713330118,52.11868348648346,2.2306888264114098,0.40298507462686567,-75.46036437913247
dow,Thursday,strong up,214,-5.899579433524836,-32.52071237789834,19.945222602841973,-0.84099544686981,0.4719626168224299,75.13587869494572
dow,Thursday,strong down,218,37.942840590515836,7.508515780286782,69.27120762541941,1.9530233212221093,0.3761467889908257,-76.44488090364041
dow,Tuesday,strong up,148,12.596059244965746,-17.280487063569414,44.15484077666196,0.38934846913417565,0.5405405405405406,62.17431068426501
dow,Tuesday,strong down,174,57.10049352340748,21.374208867401983,91.7367481374883,2.4362868447141928,0.25287356321839083,-75.56283958834011
dow,Wednesday,strong up,208,23.20133489343922,-17.389842385382604,60.545967827692415,-0.1876746231504756,0.5721153846153846,73.30164323834177
dow,Wednesday,strong down,260,19.645099034073862,-17.41904525015718,57.08896769471259,0.9030187896697158,0.4269230769230769,-88.50130490083535
is_month_end,False,strong up,888,3.164565398621682,-13.667801258965513,21.49400224422858,-0.8292414966796248,0.536036036036036,73.12796455964806
is_month_end,False,strong down,860,23.257180529464215,3.8925631391572653,42.73171797082834,3.018118722999603,0.40581395348837207,-79.8293149447167
is_month_end,True,strong up,128,22.032107270180834,-15.787944246031506,63.63422696967256,0.07230178384115303,0.5,81.24116665499339
is_month_end,True,strong down,98,42.60411524432605,21.443238581542197,63.53481739497696,2.934247064357301,0.2653061224489796,-78.98000935662455
is_quarter_end,False,strong up,992,4.870687895863428,-10.571210042069621,20.284493391588295,-0.8361544249905221,0.53125,74.15994781922083
is_quarter_end,False,strong down,921,25.0601728967079,5.706559809362817,42.71201635433394,3.20950908591559,0.4017372421281216,-79.6256960913769
is_quarter_end,True,strong down,37,29.620521930140573,9.220738372153845,43.560908462303814,2.6070139492746334,0.13513513513513514,-82.64826133101205
is_opex,False,strong up,974,5.03849484679138,-10.627765560992607,20.772552689013914,-0.7725080618704676,0.5277207392197125,73.28542206956487
is_opex,False,strong down,921,25.31726385135066,6.60993747449616,43.32337978756453,3.272654394715483,0.38979370249728557,-79.26349130140893
is_opex,True,strong up,42,17.208329137723727,-44.76965580703542,66.72528834811558,-0.1934479709466851,0.6190476190476191,94.20239916786728
is_opex,True,strong down,37,23.22104168078963,-34.76613255337907,83.40638121110733,0.5209843486744061,0.43243243243243246,-91.66422380562
volume_regime,high,strong up,625,7.21494091562159,-12.09892477277893,28.187198944344527,-0.2470766668195786,0.5344,83.76765862563485
volume_regime,high,strong down,611,29.339437380256957,4.432611093946469,51.61634337536,3.4722249973392416,0.3911620294599018,-85.50440385836389
volume_regime,ordinary,strong up,391,2.8667665787613994,-12.932524489972062,18.957266388371174,-1.0738098345457794,0.5268542199488491,58.77676526799194
volume_regime,ordinary,strong down,347,18.011476397539415,-3.2871363000243394,38.287180157235,2.1780458338589366,0.3919308357348703,-69.59671761367501
