ticker,slot,median_volume,mean_volume,mean_abs_return,realized_variance,mean_hl_range,median_hl_range,n_obs,rms_return,median_volume_norm,mean_volume_norm,mean_abs_return_norm,realized_variance_norm,mean_hl_range_norm,rms_return_norm
AAPL,09:30,2604939.0,3155537.482427833,,,0.0072584458127909895,0.006487617718869946,1281,,4.321852274528256,4.415676448582544,,,3.42309383687244,
AAPL,09:35,1377651.0,1568986.9497154746,0.002442172302379046,1.077914847318498e-05,0.00481797161970464,0.004259224397590367,1281,0.0032831613535105127,2.285659705603903,2.195549493730481,2.33913136955495,4.498781814476112,2.2721625790157547,2.211135408770598
AAPL,09:40,1194991.0,1373680.826636872,0.002133168883572128,8.26993875076498e-06,0.004122395657485535,0.0036494948330835874,1281,0.0028757501196670374,1.982608641273671,1.9222494132387664,2.0431655240956137,3.4515388809538963,1.9441279210793478,1.9367530960892538
AAPL,09:45,1139193.0,1313013.0540997565,0.0020493506651577385,7.370930974741995e-06,0.003957377490073582,0.00347269976619444,1281,0.002714945851162044,1.8900342227501938,1.8373544449894927,1.962883791376627,3.076329295159056,1.8663051079856123,1.828455034042238
AAPL,09:50,1014434.0,1198737.3246353967,0.0017555211526782662,5.5773585880457824e-06,0.003509331172596451,0.003164556962025397,1281,0.0023616431965997283,1.683046662612367,1.6774436056949689,1.6814516298242945,2.3277645215790077,1.6550057985264672,1.590513633848767
AAPL,09:55,939119.0,1106282.0709671273,0.0016016104846082945,4.420641143999057e-06,0.0031255316946218045,0.0028397227094294594,1281,0.0021025320791843004,1.5580916045261333,1.5480670768328881,1.5340348110187916,1.844997314622901,1.4740053940962656,1.4160081177215245
AAPL,10:00,985525.0,1131225.4247922692,0.0017176438386845123,5.3315856267632284e-06,0.003489934916930782,0.0030566557602893403,1281,0.0023090226561823138,1.6350837631339772,1.582971361965828,1.6451724478554537,2.2251888003651787,1.6458584955169784,1.5550748821038425
AAPL,10:05,865729.0,990325.216622484,0.0015153877250254518,4.101961762570052e-06,0.0030360035233219286,0.0027084159069890117,1281,0.00202533003793704,1.4363303124468836,1.385803768717337,1.4514499903190607,1.7119933941937682,1.4317837754044227,1.3640142774405217
AAPL,10:10,822519.0,951991.3814714731,0.0015231486087273055,5.3889818330773765e-06,0.0029826417375830973,0.0026161269693623455,1281,0.0023214180651225614,1.3646406349602453,1.332161619320357,1.4588834242765212,2.249143661904414,1.4066182779138705,1.5634229115373235
AAPL,10:15,795395.0,915677.9618875558,0.0013936597338554061,3.4880624049355476e-06,0.0028087966125242337,0.002486411472186925,1281,0.001867635511799759,1.3196392275974225,1.281346722486734,1.3348579863800332,1.4557765628814308,1.3246326584702923,1.2578105570115476
AAPL,10:20,752594.0,860558.2981610787,0.0014144669230297445,4.304940362281392e-06,0.0027247545393884872,0.0023913581264946504,1281,0.0020748350204971458,1.2486281216935669,1.2042154564738417,1.354787271820928,1.7967084749240168,1.2849982918291591,1.3973547709658183
AAPL,10:25,708690.0,825376.0899111264,0.001317224272445241,3.099671658798077e-06,0.0026040001825854285,0.0022850998050944512,1281,0.0017605884410611349,1.17578702934519,1.154983511284297,1.2616475149662214,1.2936779305097978,1.2280503576282005,1.1857167598966858
AAPL,10:30,717947.0,808448.6713965152,0.0012628990648121136,2.842824809804109e-06,0.0025781188503892433,0.0022792888618751814,1281,0.0016860678544483637,1.191145310865528,1.1312962619055444,1.2096144142679435,1.186480415211251,1.2158446828851739,1.1355288190677437
AAPL,10:35,680001.0,774513.0825221429,0.0012320428419315224,2.754296993375267e-06,0.0024738173797377166,0.0021775279119487343,1281,0.0016596074817182727,1.1281891316961696,1.0838087636914355,1.180060087238823,1.1495324752495635,1.1666559542547554,1.1177083525194844
AAPL,10:40,663854.0,754265.1382283919,0.0012401931153744542,2.755177880457913e-06,0.002390509048966541,0.002129402129402055,1281,0.00165987285069005,1.1013996565196655,1.0554749627944366,1.1878664816780036,1.1499001219888094,1.1273676216036521,1.117887072559929
AAPL,10:45,632573.0,733787.5293587127,0.0012160314658733375,2.6612443487014136e-06,0.0023614034256986003,0.002079536426935939,1281,0.0016313320779968172,1.0495013736809815,1.0268197825873686,1.164724268397967,1.1106960544794962,1.1136413663974414,1.0986655033768604
AAPL,10:50,619326.0,721428.3814228368,0.0011908408743285138,2.6744571460476606e-06,0.002311216824699958,0.001990166237415145,1281,0.0016353767596635523,1.0275232862552584,1.009525106555504,1.140596526533586,1.116210543176588,1.089973290751097,1.1013895056075031
AAPL,10:55,609785.0,686315.9127413895,0.0011044548922979284,2.3676621767709984e-06,0.002176686995515132,0.0019036223213314168,1281,0.0015387209548098702,1.0116938205551886,0.9603907508802327,1.0578553701210316,0.9881666970427211,1.0265288232940881,1.0362939926054757
AAPL,11:00,610271.0,720313.5318311678,0.0011979053403587943,2.6663985648065057e-06,0.0023237151783982806,0.002039544501728025,1281,0.0016329110706975152,1.0125001427782505,1.0079650505862567,1.1473629263017295,1.1128472163954075,1.095867532937267,1.0997289194855357
AAPL,11:05,572956.0,683162.7110305277,0.0011815152045992633,2.9444058275238007e-06,0.002262390522425041,0.001926669780476486,1281,0.0017159271043735514,0.9505908552194932,0.9559783429751395,1.1316643285127712,1.2288762349135371,1.066946734005298,1.155638353044293
AAPL,11:10,554614.0,663281.5075005183,0.0011497732352124786,2.9460419668643423e-06,0.002167270350106445,0.0018610421836227032,1281,0.0017164037889914898,0.920159657245415,0.9281577378687806,1.1012616266838495,1.2295590934834406,1.0220879193190684,1.1559593894247966
AAPL,11:15,536012.0,658345.7550996401,0.0010533863479562017,2.06910120281316e-06,0.0020877694872810763,0.0018500703026715017,1281,0.0014384370694657308,0.8892970934729909,0.9212509317370329,1.0089415265110322,0.8635593884510315,0.9845951942119949,0.9687550489052458
AAPL,11:20,536750.0,630320.2283683053,0.0010653807394592346,2.1166752700532604e-06,0.0020482264670456463,0.0017656012176559637,1281,0.0014548798129238238,0.8905215087006035,0.8820336322957145,1.0204298467233843,0.8834148852996792,0.9659466470780218,0.9798288672049908
AAPL,11:25,530544.0,621964.5296262194,0.0010064377076947153,1.936315113988828e-06,0.0019659037414898623,0.0017337488478250528,1281,0.0013915154019948281,0.880225138913932,0.8703411512675723,0.9639737586403488,0.8081398306720112,0.9271231273118545,0.9371543600531619
