term,coef,se,t,p,ci_low,ci_high
const,0.2626336442437026,0.3292093107182437,0.7977710097892086,0.4250033874933905,-0.3826047481393111,0.9078720366267163
abs_pressure,-0.017713949961273786,0.13673794585369603,-0.1295467022755116,0.8969250731879914,-0.285715399154506,0.2502874992319584
direction,0.2988161960774183,0.08764110283336844,3.4095439972447164,0.0006507158094490637,0.12704279095864485,0.4705896011961917
avol,0.3013537504886122,0.36456066899384904,0.826621674028409,0.40845152866716006,-0.41317203091915994,1.0158795318963842
abs_pressure_x_avol,-0.13961296185420766,0.14958341971909664,-0.9333451669736356,0.3506417817378661,-0.4327910771879756,0.15356515347956026
realized_vol,0.0001973189675190995,0.0012048135961988257,0.16377551526778814,0.8699078673780445,-0.002164072289114783,0.0025587102241529814
mkt_r_session,-0.00030814262971716905,0.0008979377272286804,-0.3431670375051448,0.7314728009069644,-0.0020680682354451336,0.0014517829760107956
month_end,-0.3382901748881725,0.24440753247658376,-1.384123359293697,0.16632068544408818,-0.8173201360925803,0.1407397863162353
