ticker,n_sessions,open_median_bps,open_p99_bps,open_over_50bp,high_median_bps,high_p99_bps,high_over_50bp,low_median_bps,low_p99_bps,low_over_50bp,close_median_bps,close_p99_bps,close_over_50bp,volume_ratio_median,volume_ratio_p05,volume_ratio_p95
AAPL,1312,0.7249494714878235,10.49226207286388,1,0.0002704686991039651,2.6048672532043518,1,0.0002723483399913462,2.5038703755766445,3,0.6517990565074738,17.247780085505074,2,0.9413074950330957,0.8503136219892298,0.9716619894622266
AMZN,1312,0.6598618993070016,18.521304735613224,2,0.0003321643371467786,6.942160155449371,2,0.00030969225461863203,6.629660518447114,5,0.00035356085725801734,17.994114914089536,4,0.9432846262626802,0.8642782861883554,0.9736290328942038
GOOGL,1297,0.47963723261545965,19.52703949675216,2,0.0003259844660874478,7.585921755611206,0,0.0003417421845508528,8.319206698872428,1,0.0003654252878071418,12.067908620075709,3,0.9310001730230454,0.8084207828503063,0.9755975919641379
IWM,1313,0.0002511045993358607,3.6581800409714478,2,0.00024326487713111078,13.676368904774188,5,0.0002225732698146743,1.7278141154389361,4,0.0002539428112235953,10.289684838291004,4,0.9348920471368508,0.8605270871775803,0.967258239788557
JPM,1315,0.00023088766676337968,21.494753705962808,5,0.0003224565081616504,5.382956984068316,2,0.00035730218894691745,14.243589977046597,3,0.00038544460956302373,18.751050316588792,5,0.9544623177246259,0.8399379898874635,0.9850169499211041
META,1314,0.880233803406405,20.770720059689655,4,0.00038314360240043754,5.666161932394742,3,0.000393376048402061,6.333174013906881,4,0.00033663738407962995,11.690797418203575,3,0.9504751232569543,0.8482820217250717,0.979765786411433
MSFT,1315,1.154352435308592,15.580301639136213,1,0.0002871856430441966,4.479309293077602,2,0.0002670621968015041,5.248672195613838,3,0.00035868745529299417,16.3314184089221,4,0.9357822602383474,0.8123368900092369,0.9716379646666204
NVDA,1315,0.6615653156594181,19.537345913770462,5,0.0003114857172192842,3.789220307197965,6,0.00030686354124398463,4.6098171105591605,4,0.000514630296155616,24.77559248246998,4,0.949133503874407,0.8793721335164264,0.9789234751429248
QQQ,1316,0.00031712917403226015,1.8652889708290437,1,0.00025942987813554197,13.567014801232864,4,0.0002772980933762881,34.74028165559912,10,0.8222418072784121,10.107959744051703,3,0.9155274912364757,0.8510792703547978,0.9507559158239469
SPY,1316,0.000303573892690423,1.2711325856685687,1,0.00023777525282042689,16.768343993842645,5,0.0002493839645900664,46.10440373568724,12,0.7550334921546664,5.4317859714580985,4,0.883370881127821,0.7947402120352862,0.9340776687867013
TSLA,1316,0.4483441596242477,12.905385895079307,6,0.0002980480062753088,5.42549329879424,4,0.0003129005760049708,4.2516695812749825,4,0.1568495215453769,15.17798019546254,2,0.9531202377792534,0.8915304787217317,0.9741601128032049
XOM,1315,0.00020346990314834557,20.25733896004675,3,0.00025170289186249306,5.370183450605218,1,0.0002403905385861549,9.981873483286849,4,1.0214828994992153,18.635675159510875,4,0.8604646685747356,0.677591717835887,0.9679174623558674
