end_session,coef,se,n,ci_low,ci_high
2022-03-02,0.030666754034394998,0.13216508825824935,2955,-0.2283768189517737,0.2897103270205637
2022-03-03,0.03136366817122193,0.13258586103921266,2959,-0.22850461946563488,0.29123195580807876
2022-03-04,0.02273858983976554,0.13168004911800588,2960,-0.23535430643152597,0.280831486111057
2022-03-07,0.02697026201367847,0.13042496627330996,2961,-0.22866267188200906,0.282603195909366
2022-03-08,-0.002654196017017524,0.13391360119833157,2961,-0.2651248543657474,0.2598164623317123
2022-03-09,0.011273114875738875,0.1347156561217762,2961,-0.2527695711229424,0.2753158008744202
2022-03-10,0.01388346896913983,0.13456973920525783,2961,-0.24987321987316552,0.2776401578114452
2022-03-11,0.010778870452582235,0.13353133646324764,2961,-0.2509425490153831,0.2725002899205476
2022-03-14,0.0012451178456627104,0.13331998445576304,2961,-0.26006205168763286,0.2625522873789583
2022-03-15,0.0005057375646535661,0.13390699464493092,2961,-0.26195197193941105,0.26296344706871816
2022-03-16,-0.013012066161643979,0.13225932072829746,2961,-0.272240334789107,0.24621620246581905
2022-03-17,-0.020034624978670368,0.13193200759007903,2961,-0.27862135985522524,0.2385521098978845
2022-03-18,-0.02473833158758436,0.13281753808728966,2961,-0.2850607062386721,0.23558404306350333
2022-03-21,-0.030150150922049063,0.13283297838968217,2961,-0.2905027885658261,0.23020248672172797
2022-03-22,-0.03179080308636952,0.13402929473462094,2961,-0.29448822076622655,0.23090661459348752
2022-03-23,-0.0370784693470463,0.13331452524035925,2961,-0.2983749388181504,0.22421800012405785
2022-03-24,-0.049322116817013456,0.133613629002628,2961,-0.31120482966216434,0.2125605960281374
2022-03-25,-0.04514863680232058,0.13260848841482464,2961,-0.30506127409537687,0.21476400049073574
2022-03-28,-0.03629753049122528,0.13487042796012136,2961,-0.30064356929306313,0.2280485083106126
2022-03-29,-0.03514534213469708,0.1352542441014237,2961,-0.3002436605734875,0.22995297630409336
2022-03-30,-0.0389839135084977,0.13516394839609217,2960,-0.30390525236483834,0.22593742534784292
2022-03-31,-0.03604944310107788,0.13216140117755096,2960,-0.29508578940907776,0.222986903206922
2022-04-01,-0.035193538706245184,0.13135757184547142,2960,-0.2926543795233692,0.2222673021108788
2022-04-04,-0.03634110260329572,0.1316924033434489,2960,-0.29445821315645554,0.22177600794986413
2022-04-05,-0.03811342244736987,0.13169541418221228,2960,-0.29623643424450596,0.22000958934976622
2022-04-06,-0.04096409961727114,0.13167181170226644,2960,-0.2990408505537134,0.21711265131917107
2022-04-07,-0.037581894031745944,0.13159680957592584,2960,-0.2955116408005606,0.2203478527370687
2022-04-08,-0.018812936250895782,0.13280315239150903,2960,-0.2791071149382535,0.24148124243646193
2022-04-11,-0.03158875914965957,0.13258372750448946,2960,-0.2914528650584589,0.22827534675913974
2022-04-12,-0.03619089123712835,0.1322005431692571,2960,-0.29530395584887226,0.2229221733746156
2022-04-13,-0.02895521622817087,0.13245967839295403,2960,-0.28857618587836076,0.230665753422019
2022-04-14,-0.027475557418869204,0.13222643749826934,2960,-0.2866393749154771,0.23168826007773868
2022-04-18,-0.027363647811685037,0.1321965701352712,2960,-0.2864689252768166,0.23174162965344652
2022-04-19,-0.026061677748955524,0.13244698778500713,2960,-0.28565777380756946,0.23353441830965843
2022-04-20,-0.03712778475402624,0.13264604732492716,2960,-0.29711403751088344,0.222858468002831
2022-04-21,-0.03612803579704436,0.13297990913172533,2960,-0.29676865769522603,0.2245125861011373
2022-04-22,-0.025299508636587947,0.1326627007534973,2960,-0.2853184021134426,0.23471938484026675
2022-04-25,-0.03169612016472545,0.1322191378891006,2960,-0.29084563042736267,0.22745339009791177
2022-04-26,-0.034187171275003474,0.13103152444087018,2960,-0.291008959179109,0.22263461662910206
2022-04-27,-0.009383786927468864,0.13408176466079633,2960,-0.27218404566262966,0.2534164718076919
2022-04-28,0.017028719622498353,0.1344249948719944,2960,-0.2464442703266107,0.2805017095716074
2022-04-29,0.019018382280197317,0.1329287774120908,2960,-0.24152202144750068,0.2795587860078953
2022-05-02,0.017542162950257064,0.13021078037045758,2960,-0.2376709665758398,0.27275529247635394
2022-05-03,0.014989784510005488,0.13010661333707213,2960,-0.2400191776306559,0.26999874665066687
2022-05-04,-0.012976091760723556,0.12967455071239292,2960,-0.2671382111570137,0.24118602763556657
2022-05-05,-0.021268559254665666,0.1263647351438955,2960,-0.26894344013670085,0.22640632162736954
2022-05-06,-0.06222932491233173,0.12881960898657493,2960,-0.31471575852601863,0.19025710870135515
2022-05-09,-0.08120032108848843,0.12922943992965866,2960,-0.3344900233506194,0.17208938117364256
2022-05-10,-0.08854703363326726,0.12837124895017168,2961,-0.34015468157560375,0.1630606143090692
2022-05-11,-0.08009435871558729,0.12863833201418906,2963,-0.33222548946339786,0.17203677203222328
2022-05-12,-0.030121313725256803,0.13502715339745677,2964,-0.29477453438427204,0.23453190693375844
2022-05-13,-0.023918931824937005,0.13495963979636608,2965,-0.2884398258258145,0.24060196217594051
2022-05-16,-0.03779679716705398,0.13523734159392076,2967,-0.3028619866911387,0.22726839235703072
2022-05-17,-0.040023778697310906,0.1362468852804838,2968,-0.30706767384705913,0.22702011645243733
2022-05-18,-0.07189049479942117,0.1340009669304572,2969,-0.3345323899831173,0.19075140038427496
