decile,n,n_dates,mean_bps,ci_low_bps,ci_high_bps,median_bps,median_ci_low_bps,median_ci_high_bps,t_stat_clustered,std_bps,mean_close30_bps,p_positive
1,1465,497,20.22066522291082,4.613295102923788,34.936117117430925,23.75296912114022,11.91402084054394,32.89094056549313,2.8454688370351646,155.61002813077678,-69.39310282508592,0.5938566552901023
2,1467,674,8.162546707469408,-2.324115242951715,18.353261435745505,10.77818495365479,5.086965318616022,17.76690027934702,2.635201112077853,140.86167534358682,-35.76333902302314,0.5623721881390593
3,1399,709,10.50326079708296,1.5551623319616308,19.78844525899236,8.937049656481122,3.1331592689287646,14.990006662225497,2.454123501269037,135.53298206656112,-22.33714986864737,0.5496783416726233
4,1490,772,2.814028089634831,-6.248283533823616,11.673966918257072,8.556809869680881,2.3825147478507285,13.53033506210696,0.5292976282423443,132.95928296272368,-12.794546886197647,0.5449664429530201
5,1502,789,7.4082327105723245,-1.778897095056669,16.782054794602473,7.323635434351994,3.268070946849111,11.212734343769265,0.9252691903199025,154.65069422789537,-4.448892539287014,0.5639147802929427
6,1516,802,1.653507651334187,-5.529558650941233,8.889139025008749,4.9792072747822935,0.4728906219185203,10.82195310486922,0.9400313026473053,112.312763742621,3.649177471009352,0.5349604221635884
7,1469,774,-1.0471861609793678,-9.039323651085468,6.567580215872994,3.0070255050440586,-1.5490546110329824,7.913699029531429,0.6228048436738293,126.19665907449118,11.937365497209132,0.5228046289993192
8,1443,742,-4.5006075807360295,-13.035999636241218,3.693368874074733,0.4936240230346556,-4.6118105118930774,4.352156021812539,-0.22725940109717488,121.14565877157337,20.638303738129824,0.5003465003465003
9,1452,643,-3.6476263147065113,-14.150039662433581,7.084932176639054,0.11792174712810244,-5.700035625221256,6.089979446319838,-0.8854695463398147,140.4856299484055,32.149475029244286,0.5
10,1755,558,6.341083792947583,-5.5328843999606026,18.847911117308687,3.36745689655249,-5.778120184900537,11.350129241762318,0.5780650279248953,155.43679638517017,62.23638350069259,0.513960113960114
