window,predicts,beta_std,se,t,p,ci_low,ci_high,n,r2,sample
morning 09:30-10:00,10:00-10:30,-0.008131008441395369,0.018252815521299537,-0.445465984790519,0.6559830362457911,-0.04390586947959615,0.027643852596805414,2052,0.0001928513461800785,extremes
midday 12:00-12:30,12:30-13:00,-0.05486060090636233,0.0412484487045523,-1.33000397904195,0.18351696029155407,-0.13570607478543267,0.02598487297270803,1993,0.007378763409061295,extremes
close 15:30-16:00,overnight,-0.054685709078834466,0.02474116236835377,-2.210312848873363,0.027083457498050204,-0.10317749625646556,-0.006193921901203367,1974,0.00671676194677695,extremes
